Subj.Trial,A,pearson,spearman,hsu,percision
2.53,0,1.94E-01,2.52E-01,2.25E-01,2.47E-01
2.54,1,3.57E-01,4.61E-01,4.11E-01,4.50E-01
2.55,1,3.51E-01,4.54E-01,4.05E-01,4.44E-01
2.56,1,3.58E-01,4.63E-01,4.13E-01,4.52E-01
2.57,1,3.50E-01,4.53E-01,4.04E-01,4.43E-01
2.58,0,2.08E-01,2.70E-01,2.41E-01,2.64E-01
2.59,1,3.40E-01,4.41E-01,3.93E-01,4.31E-01
2.6,0,2.09E-01,2.71E-01,2.42E-01,2.65E-01
3.01,1,3.66E-01,4.70E-01,4.20E-01,4.60E-01
3.02,0,2.08E-01,2.69E-01,2.40E-01,2.63E-01
3.03,0,2.63E-01,3.38E-01,3.03E-01,3.31E-01
3.04,0,1.83E-01,2.37E-01,2.12E-01,2.32E-01
3.05,0.61,2.61E-01,3.37E-01,3.01E-01,3.29E-01
3.06,1,3.70E-01,4.76E-01,4.26E-01,4.65E-01
3.07,0,1.70E-01,2.21E-01,1.97E-01,2.16E-01
3.08,1,3.70E-01,4.75E-01,4.25E-01,4.64E-01
3.09,0,2.62E-01,3.36E-01,3.01E-01,3.29E-01
3.1,1,3.48E-01,4.51E-01,4.02E-01,4.41E-01
3.11,1,3.57E-01,4.61E-01,4.12E-01,4.50E-01
3.12,1,3.33E-01,4.31E-01,3.84E-01,4.21E-01
3.13,0,2.27E-01,2.90E-01,2.60E-01,2.83E-01
3.14,1,3.58E-01,4.62E-01,4.12E-01,4.52E-01
3.15,0.67,2.59E-01,3.36E-01,3.00E-01,3.28E-01
3.16,1,3.47E-01,4.49E-01,4.01E-01,4.39E-01
3.17,1,3.60E-01,4.65E-01,4.15E-01,4.54E-01
3.18,1,3.40E-01,4.40E-01,3.92E-01,4.29E-01
3.19,1,3.36E-01,4.35E-01,3.87E-01,4.25E-01
3.2,0,2.20E-01,2.83E-01,2.53E-01,2.77E-01
3.21,0,1.76E-01,2.28E-01,2.04E-01,2.23E-01
3.22,1,3.68E-01,4.74E-01,4.24E-01,4.63E-01
3.23,0,2.05E-01,2.65E-01,2.37E-01,2.59E-01
3.24,0.07,1.83E-01,2.36E-01,2.11E-01,2.31E-01
3.25,1,3.45E-01,4.47E-01,3.98E-01,4.36E-01
3.26,0,3.84E-01,4.57E-01,4.14E-01,4.42E-01
3.27,0,1.90E-01,2.45E-01,2.19E-01,2.40E-01
3.28,1,3.07E-01,3.96E-01,3.53E-01,3.87E-01
3.29,1,3.39E-01,4.36E-01,3.89E-01,4.26E-01
3.3,1,3.39E-01,4.39E-01,3.91E-01,4.28E-01
3.31,0.93,3.12E-01,4.04E-01,3.60E-01,3.95E-01
3.32,1,3.26E-01,4.21E-01,3.75E-01,4.11E-01
3.33,1,3.51E-01,4.55E-01,4.06E-01,4.44E-01
3.34,0.83,3.20E-01,4.12E-01,3.68E-01,4.03E-01
3.35,0,1.24E-01,1.60E-01,1.43E-01,1.57E-01
3.36,0,2.17E-01,2.80E-01,2.50E-01,2.74E-01
3.37,1,3.45E-01,4.41E-01,3.93E-01,4.30E-01
3.38,0,2.15E-01,2.78E-01,2.49E-01,2.72E-01
3.39,0,1.74E-01,2.25E-01,2.01E-01,2.21E-01
3.4,0,2.38E-01,3.07E-01,2.74E-01,3.00E-01
3.41,1,4.07E-01,5.10E-01,4.59E-01,4.97E-01
3.42,1,4.06E-01,5.09E-01,4.57E-01,4.96E-01
3.43,1,3.33E-01,4.28E-01,3.82E-01,4.18E-01
3.44,1,3.83E-01,4.88E-01,4.37E-01,4.76E-01
3.45,0,2.37E-01,3.06E-01,2.74E-01,3.00E-01
3.46,1,3.47E-01,4.50E-01,4.01E-01,4.39E-01
3.47,1,3.29E-01,4.25E-01,3.79E-01,4.16E-01
3.48,0,2.22E-01,2.87E-01,2.56E-01,2.81E-01
3.49,1,4.04E-01,5.07E-01,4.55E-01,4.94E-01
3.5,1,3.63E-01,4.67E-01,4.17E-01,4.56E-01
3.51,0,2.22E-01,2.88E-01,2.57E-01,2.82E-01
